Index,Plot
0,Humanity on Trial
1,Q 
2,Polywater Intoxication
3,Data Dates
4,The Traveler
5,Wesley is Special (The Traveler)
6,Data vs. Moriarty
7,DaiMon Bok's Revenge
8,The Name's Dixon Hill
9,The Holodeck is Dangerous
10,Data Investigates
11,Soong Family Problems
12,Lore is Evil
13,The Crystalline Entity
14,Minuet
15,Starfleet Command Infiltration
16,Tasha Travels Time
17,Resistance is Futile
18,Klingon Kulture
19,Androids Have Rights
20,Wesley in Love
21,Riker Family Problems
22,Picard Has Heart
23,Lwaxana Dates
24,Worf Family Problems
25,Geordi Dates
26,Geordi and Leah Sitting in a Tree
27,Barzan Wormhole
28,Sela's Revenge
29,The Sons of Mogh
30,Vash
31,Picard Dates
32,Reg is Neurotic
33,Sarek
34,Locutus of Borg
35,Yar Family Problems
36,Troi in Command
37,Vulcan/Romulan Reunification
38,Sito Jaxa
39,Beyond Family
40,Picard's Flute
41,Chain of Command
42,Birthright
43,Picardiana Jones
44,Metaphasic Shielding
45,Kahless the Unforgettable
46,Thomas Riker
47,Descent
48,I am Hugh
49,Gambit